Time,AxG_S1,AyG_S1,AzG_S1,AVx_S1,AVy_S1,AVz_S1,AVy_L1,AVy_R1,AVy_L2,AVy_R2,My_Dr_L1,My_Dr_R1,My_Dr_L2,My_Dr_R2,My_Bk_L1,My_Bk_R1,My_Bk_L2,My_Bk_R2,StrK_L1,StrK_R1,sv_vx,sv_vy,sv_vz,Roll_E,Pitch,Yaw
        2.905, 0.00209840480238, -0.123927354813, 0.990180194378, -6.3448009491, 0.0875002592802, -0.254354894161, 188.615509033, 188.374938965, 188.498962402, 188.489471436, 20.3221645355, 20.3221645355, 20.3221645355, 20.3221645355,          -0.5,          -0.5,          -0.5,          -0.5, -0.317428231239, -0.331332117319, 8.32744407654, 0.159278929234, -0.00286247301847, -7.19824123383, 0.00938120484352, 0.101980164647
         2.91, 0.00208554067649, -0.124560989439, 0.990121901035, -6.33830785751, 0.0864685475826, -0.257251173258, 188.618850708, 188.376342773, 188.502563477, 188.491165161, 20.2995758057, 20.2995758057, 20.2995758057, 20.2995758057,          -0.5,          -0.5,          -0.5,          -0.5, -0.318617135286, -0.332593083382, 8.32755088806, 0.159531757236, -0.00280580623075, -7.22994947433, 0.00965208373964, 0.100656665862
        2.915, 0.00207262602635, -0.125195935369, 0.990062296391, -6.3315987587, 0.0854043960571, -0.260172843933, 188.622192383, 188.377716064, 188.506164551, 188.492858887, 20.2769412994, 20.2769412994, 20.2769412994, 20.2769412994,          -0.5,          -0.5,          -0.5,          -0.5, -0.319802820683, -0.333853572607, 8.32765769958, 0.159782484174, -0.00274933129549, -7.26162433624, 0.00991519726813, 0.0993192568421
         2.92, 0.00205975584686, -0.125832721591, 0.989999711514, -6.32465744019, 0.0843124464154, -0.263117969036, 188.625564575, 188.379058838, 188.509750366, 188.494567871, 20.2542667389, 20.2542667389, 20.2542667389, 20.2542667389,          -0.5,          -0.5,          -0.5,          -0.5, -0.320984691381, -0.335113078356, 8.32776355743, 0.16003100574, -0.00269315764308, -7.29326534271, 0.0101703638211, 0.09796782583
        2.925, 0.00204681511968, -0.12647138536, 0.989936292171, -6.31747055054, 0.0831987783313, -0.266085088253, 188.628952026, 188.380371094, 188.513305664, 188.496261597, 20.2315540314, 20.2315540314, 20.2315540314, 20.2315540314,          -0.5,          -0.5,          -0.5,          -0.5, -0.322162091732, -0.336371064186, 8.32786941528, 0.160277232528, -0.00263741356321, -7.32487106323, 0.0104174334556, 0.0966022983193
         2.93, 0.00203374377452, -0.127112150192, 0.989872634411, -6.31001853943, 0.0820631608367, -0.269072026014, 188.632354736, 188.381637573, 188.516860962, 188.497970581, 20.2088050842, 20.2088050842, 20.2088050842, 20.2088050842,          -0.5,          -0.5,          -0.5,          -0.5, -0.32333445549, -0.337626934052, 8.32797527313, 0.160521030426, -0.00258212233894, -7.35644006729, 0.0106562720612, 0.0952225923538
        2.935, 0.00202052737586, -0.127754926682, 0.989808738232, -6.30228185654, 0.0809054896235, -0.272076785564, 188.635787964, 188.382888794, 188.520401001, 188.499664307, 20.1860256195, 20.1860256195, 20.1860256195, 20.1860256195,          -0.5,          -0.5,          -0.5,          -0.5, -0.324501276016, -0.338880181313, 8.32808017731, 0.160762280226, -0.00252730469219, -7.38797140121, 0.0108867427334, 0.0938286334276
         2.94, 0.00200708559714, -0.128394648433, 0.989743471146, -6.29423379898, 0.0797238945961, -0.275104910135,  188.63923645, 188.384094238, 188.523925781, 188.501373291, 20.1632175446, 20.1632175446, 20.1632175446, 20.1632175446,          -0.5,          -0.5,          -0.5,          -0.5, -0.325662046671, -0.340130358934, 8.32818412781, 0.161000996828, -0.00247301859781, -7.41946315765, 0.0111087048426, 0.0924203470349
        2.945, 0.00199350225739, -0.129037186503, 0.989678740501, -6.28584861755, 0.0785180404782, -0.278160750866, 188.642715454, 188.385269165, 188.527435303, 188.503067017, 20.1403827667, 20.1403827667, 20.1403827667, 20.1403827667,          -0.5,          -0.5,          -0.5,          -0.5, -0.326816320419, -0.34137699008, 8.32828807831, 0.161237180233, -0.00241929315962, -7.45091342926, 0.0113220065832, 0.0909976288676
         2.95, 0.00197977339849, -0.129682779312, 0.98961430788, -6.27710962296, 0.0772889479995, -0.281242579222, 188.646194458, 188.386428833, 188.530929565, 188.504745483, 20.1175270081, 20.1175270081, 20.1175270081, 20.1175270081,          -0.5,          -0.5,          -0.5,          -0.5, -0.327963709831, -0.342619717121, 8.32839107513, 0.161470636725, -0.00236612232402, -7.48232126236, 0.0115264980122, 0.0895603746176
