Time,AxG_S1,AyG_S1,AzG_S1,AVx_S1,AVy_S1,AVz_S1,AVy_L1,AVy_R1,AVy_L2,AVy_R2,My_Dr_L1,My_Dr_R1,My_Dr_L2,My_Dr_R2,My_Bk_L1,My_Bk_R1,My_Bk_L2,My_Bk_R2,StrK_L1,StrK_R1,sv_vx,sv_vy,sv_vz,Roll_E,Pitch,Yaw
         0.05, -0.00421929219738, -2.03163287619e-16,  1.0003465414, -3.72539108598e-15, 0.00800559204072, 3.6476046623e-15, 188.492111206, 188.492111206, 188.481201172, 188.481201172, 10.0209283829, 10.0209283829, 10.0209283829, 10.0209283829,          -0.5,          -0.5,          -0.5,          -0.5, -0.000271712808171, 0.000271712808171, 8.32995796204, -6.96512347026e-17, -0.00608142046258, -6.05799618238e-17, -0.0442049242556, 6.79137451346e-17
        0.055, -0.00395950209349, -4.39012610525e-17, 1.00026094913, -4.41275578158e-15, 0.00614424981177, 4.11805311395e-15, 188.491134644, 188.491134644, 188.479797363, 188.479797363, 10.4799480438, 10.4799480438, 10.4799480438, 10.4799480438,          -0.5,          -0.5,          -0.5,          -0.5, -0.000280280190054, 0.000280280190054, 8.32971954346, -8.32234950794e-17, -0.00606139097363, -8.09773754615e-17, -0.0441694781184, 8.74303768561e-17
         0.06, -0.00373873161152, -2.1543188488e-16, 1.00018358231, -5.14432035043e-15, 0.00415503419936, 4.66107958369e-15, 188.489837646, 188.489837646, 188.478134155, 188.478134155, 10.8659191132, 10.8659191132, 10.8659191132, 10.8659191132,          -0.5,          -0.5,          -0.5,          -0.5, -0.000285696907667, 0.000285696907667, 8.32949352264, -9.64269718693e-17, -0.00604676594958, -1.04833840045e-16, -0.0441436879337, 1.09610490445e-16
        0.065, -0.0035522270482, -2.09170061469e-16, 1.00011527538, -5.87125249609e-15, 0.00210069771856, 5.25026977257e-15, 188.488235474, 188.488235474, 188.476242065, 188.476242065, 11.1878900528, 11.1878900528, 11.1878900528, 11.1878900528,          -0.5,          -0.5,          -0.5,          -0.5, -0.00028804174508, 0.00028804174508, 8.32927703857, -1.09788645297e-16, -0.0060371896252, -1.32327986883e-16, -0.0441280305386, 1.34220721708e-16
         0.07, -0.00339474016801, -2.19155388777e-16, 1.00004124641, -6.70158661231e-15, 5.43143578398e-05, 5.74891298642e-15, 188.486343384, 188.486343384, 188.474090576, 188.474090576, 11.4540538788, 11.4540538788, 11.4540538788, 11.4540538788,          -0.5,          -0.5,          -0.5,          -0.5, -0.000287455011858, 0.000287455011858, 8.32906913757, -1.24834246694e-16, -0.00603251345456, -1.6376439711e-16, -0.0441226735711, 1.61669684632e-16
        0.075, -0.00326339388266, -1.82597062962e-16, 0.99997985363, -7.21757367278e-15, -0.00190610031132, 6.25225003335e-15, 188.484222412, 188.484222412, 188.471710205, 188.471710205, 11.6717672348, 11.6717672348, 11.6717672348, 11.6717672348,          -0.5,          -0.5,          -0.5,          -0.5, -0.00028436363209, 0.00028436363209, 8.32886886597, -1.40428573239e-16, -0.00603273324668, -1.9876693516e-16, -0.0441273450851, 1.91536158996e-16
         0.08, -0.00315500516444, -2.36897142367e-16, 0.999932587147, -7.79913040074e-15, -0.00376208079979, 6.79828177598e-15, 188.481842041, 188.481842041, 188.469100952, 188.469100952, 11.8476037979, 11.8476037979, 11.8476037979, 11.8476037979,          -0.5,          -0.5,          -0.5,          -0.5, -0.000279154599411, 0.000279154599411, 8.32867336273, -1.5430891538e-16, -0.00603698147461, -2.36211680954e-16, -0.0441415682435, 2.2428508648e-16
        0.085, -0.00306627526879, -2.02760682271e-16, 0.99989515543, -8.48943599473e-15, -0.00548926228657, 7.22120913819e-15, 188.479232788, 188.479232788, 188.466278076, 188.466278076, 11.9874219894, 11.9874219894, 11.9874219894, 11.9874219894,          -0.5,          -0.5,          -0.5,          -0.5, -0.000272042205324, 0.000272042205324, 8.32848358154, -1.69542498534e-16, -0.00604459643364, -2.77018075523e-16, -0.0441647581756, 2.59374511581e-16
         0.09, -0.00299434200861, -1.57917566903e-16, 0.999864816666, -9.00545947763e-15, -0.00706175575033, 7.5654162229e-15, 188.476409912, 188.476409912, 188.463256836, 188.463256836, 12.0964174271, 12.0964174271, 12.0964174271, 12.0964174271,          -0.5,          -0.5,          -0.5,          -0.5, -0.000263151508989, 0.000263151508989, 8.32829666138, -1.85345817224e-16, -0.00605506496504, -3.21058944811e-16, -0.0441962070763, 2.9634974966e-16
        0.095, -0.0029367627576, -3.11632473959e-16, 0.999839961529, -9.23875776229e-15, -0.00845633540303, 8.03578208884e-15, 188.473358154, 188.473358154,  188.46005249,  188.46005249, 12.1791810989, 12.1791810989, 12.1791810989, 12.1791810989,          -0.5,          -0.5,          -0.5,          -0.5, -0.000252569123404, 0.000252569123404, 8.32811355591, -1.99100705845e-16, -0.00606796005741, -3.66625585134e-16, -0.0442350842059, 3.35284757281e-16
