Time,AxG_S1,AyG_S1,AzG_S1,AVx_S1,AVy_S1,AVz_S1,AVy_L1,AVy_R1,AVy_L2,AVy_R2,My_Dr_L1,My_Dr_R1,My_Dr_L2,My_Dr_R2,My_Bk_L1,My_Bk_R1,My_Bk_L2,My_Bk_R2,StrK_L1,StrK_R1,sv_vx,sv_vy,sv_vz,Roll_E,Pitch,Yaw
         0.21, -0.0155186383054, 0.172745123506, 0.969264686108, 3.30669546127, 1.66889095306, 9.02064037323, 91.2904205322, 97.3733062744,  91.750213623, 96.5023269653,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5,  5.5935125351, 5.48249673843, 4.18450450897, 0.0686262324452, -0.0185908582062, 4.82499599457,  1.2238484621, -30.4580574036
        0.215, -0.0157649330795, 0.177749603987, 0.969353556633, 3.07605743408,  1.6963943243,  8.9990530014, 91.3186950684, 97.3339767456, 91.7393341064, 96.4998703003,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.58077812195, 5.46362495422, 4.18484401703, 0.0697928294539, -0.0193144548684, 4.84192943573, 1.22843313217, -30.412443161
         0.22, -0.0159852597862, 0.182689875364,   0.969401896, 2.84406208992, 1.72845983505, 8.96263790131, 91.3349990845, 97.3084030151, 91.7311553955, 96.4923095703,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.56370639801, 5.44009923935, 4.18517684937, 0.0711997970939, -0.0200220867991, 4.85770750046, 1.23316574097, -30.3669586182
        0.225, -0.0161882191896, 0.187567487359, 0.969462931156, 2.61104822159, 1.76450002193, 8.91206359863, 91.3412094116,  97.293762207, 91.7263259888, 96.4799423218,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.54604434967, 5.41568756104, 4.18550443649, 0.0728504061699, -0.0207123626024, 4.87232208252,  1.2380746603, -30.3216762543
         0.23, -0.0163915008307, 0.192380785942, 0.969558596611, 2.37753367424,  1.8037520647, 8.84830760956, 91.3397369385, 97.2866973877, 91.7254180908, 96.4628067017,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.53098154068, 5.39362096786, 4.18582820892, 0.0747475996614, -0.0213828720152, 4.88576793671, 1.24318480492, -30.2766609192
        0.235, -0.0166312549263, 0.197124153376, 0.96970975399,   2.144135952, 1.84534275532, 8.77259635925, 91.3332672119, 97.2843017578, 91.7285842896, 96.4417190552,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.52095937729, 5.37639570236, 4.18614625931, 0.0768937319517, -0.0220304280519, 4.89804363251, 1.24851644039, -30.2319755554
         0.24, -0.0169053785503, 0.20173253119, 0.969989061356, 1.91146993637, 1.88841295242, 8.68642997742,  91.324546814, 97.2838897705, 91.7356185913, 96.4176483154,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.51758003235, 5.36567687988, 4.18645811081, 0.0792890489101, -0.0226499065757, 4.90914964676, 1.25408470631, -30.1876754761
        0.245, -0.0172110460699, 0.206163987517, 0.970310688019, 1.67998504639, 1.93207597733, 8.59156703949, 91.3161468506, 97.2820587158, 91.7461242676, 96.3908462524,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.52160787582, 5.36229228973, 4.18676233292, 0.0819309800863, -0.0232363734394, 4.91908979416,  1.2599003315, -30.1438064575
         0.25, -0.0175862945616, 0.210427895188, 0.970690727234, 1.44979703426, 1.97537946701, 8.48994731903, 91.3101806641,  97.275932312, 91.7597351074, 96.3617172241,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.53305006027, 5.36631059647, 4.18705654144, 0.0848136618733, -0.0237878262997, 4.92787027359, 1.26596784592, -30.1004085541
        0.255, -0.0180343333632, 0.214530304074, 0.971134841442, 1.22104263306, 2.01758527756, 8.38327407837, 91.3081970215, 97.2649841309, 91.7760162354, 96.3312454224,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.55128383636, 5.37716007233, 4.18733692169, 0.087932959199, -0.0243012923747,  4.9354968071, 1.27228736877, -30.0575122833
         0.26, -0.0185303837061, 0.218425184488, 0.971627891064, 0.993613481522, 2.05810141563, 8.27321052551, 91.3111877441,  97.248374939, 91.7944030762, 96.3000717163,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5,  5.5752248764, 5.39379405975, 4.18760204315, 0.0912824198604, -0.0247744787484,  4.9419760704, 1.27885448933, -30.0151367188
        0.265, -0.0190574899316, 0.221974596381, 0.972263634205, 0.76697832346, 2.09647488594, 8.16127109528, 91.3201599121, 97.2252807617, 91.8142852783, 96.2686080933,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.60352277756, 5.41488552094,  4.1878490448, 0.094850808382, -0.0252046491951, 4.94731378555,  1.2856618166, -29.9732971191
         0.27, -0.0196029487997, 0.225207746029, 0.972985684872, 0.539968788624, 2.13267183304, 8.04881954193, 91.3347930908, 97.1962356567,  91.835144043,  96.237739563,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5,  5.6348028183, 5.43906545639,  4.1880774498, 0.0986225605011, -0.0255841147155, 4.95151090622, 1.29269981384, -29.9319992065
        0.275, -0.020178033039, 0.228107914329, 0.973647773266, 0.311708629131, 2.16653227806, 7.93715190887, 91.3531646729, 97.1625595093, 91.8565216064, 96.2077407837,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.66774654388, 5.46500682831, 4.18828630447, 0.102583087981, -0.0259146187454, 4.95456266403, 1.29995810986, -29.8912467957
         0.28, -0.0207686591893, 0.230643227696, 0.974250912666, 0.0811944752932, 2.19797801971, 7.82742786407, 91.3741989136, 97.1252059937, 91.8780288696, 96.1786804199,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.70117616653, 5.49151229858, 4.18847513199, 0.106715761125, -0.0261998679489, 4.95646095276, 1.30742526054, -29.8510303497
        0.285, -0.0213657375425, 0.232792615891, 0.974796772003, -0.152733281255, 2.22707223892, 7.72065973282,  91.396987915, 97.0852813721, 91.8991699219, 96.1505661011,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.73414421082, 5.51760435104, 4.18864297867, 0.111002244055, -0.0264434851706, 4.95719242096, 1.31508898735, -29.811340332
         0.29, -0.0219619814306, 0.234504163265, 0.975309431553, -0.391320824623, 2.25396370888, 7.61769390106, 91.4208679199, 97.0442886353,  91.919380188, 96.1234436035,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.76598167419, 5.54257917404, 4.18879032135, 0.115422703326, -0.026648696512,  4.9567360878, 1.32293736935, -29.7721614838
        0.295, -0.0225551780313, 0.235787272453, 0.97579574585, -0.635924100876, 2.27876353264, 7.51912164688, 91.4463195801, 97.0036773682, 91.9386062622, 96.0974960327,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.79635858536, 5.56607198715, 4.18891763687, 0.119954042137, -0.0268169920892, 4.95506715775, 1.33095860481, -29.7334728241
          0.3, -0.0231259800494, 0.236728399992, 0.976234734058, -0.887580275536, 2.30171370506, 7.42560768127, 91.4725494385, 96.9648208618, 91.9568099976,  96.072845459,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.82527112961, 5.58804655075, 4.18902492523, 0.124577395618, -0.0269510541111, 4.95215177536, 1.33914172649, -29.6952533722
        0.305, -0.0236618909985, 0.237359404564, 0.976636350155, -1.14710199833, 2.32305645943, 7.33777141571, 91.4977493286, 96.9284133911, 91.9736328125, 96.0495986938,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.85290527344, 5.60866260529, 4.18911457062, 0.129275903106, -0.0270534045994, 4.94795465469,  1.3474766016, -29.6574783325
         0.31, -0.0241661965847, 0.237619623542, 0.976981937885, -1.41515231133, 2.34302902222, 7.25609827042, 91.5207595825, 96.8948059082, 91.9887466431,  96.027885437,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.87958049774, 5.62822151184,  4.1891875267, 0.134032741189, -0.0271263755858, 4.94243383408, 1.35595405102, -29.6201152802
        0.315, -0.0246591083705, 0.237594351172, 0.977337479591, -1.6923532486, 2.36189699173, 7.18083190918, 91.5409698486, 96.8640136719,  92.001991272, 96.0078887939,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.90578365326, 5.64720153809, 4.18924617767, 0.138828858733, -0.0271726567298, 4.93554735184,  1.3645658493, -29.5831375122
         0.32, -0.0251469481736, 0.237336114049, 0.977857708931, -1.97911858559, 2.38003587723,  7.1124048233, 91.5586090088,  96.837387085, 92.0132751465, 95.9902267456,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.93208789825, 5.66617870331, 4.18929004669, 0.143651530147, -0.0271863359958, 4.92724752426, 1.37330555916, -29.5465106964
        0.325, -0.0256233830005, 0.236935809255, 0.978378117085, -2.27546691895, 2.39751172066, 7.05111503601, 91.5743942261, 96.8154830933, 92.0223693848, 95.9751205444,             0,             0,             0,             0,          -0.5,          -0.5,          -0.5,          -0.5, 5.95903110504, 5.68569898605, 4.18932008743, 0.148489519954, -0.0271638631821, 4.91748857498, 1.38216757774, -29.5101985931
